Region,waste_generated_during_year,waste_transmitted_to_other_organizations,Waste_received_from_other_organizations,Treated_and_destructed_by_other_organizations,Used_by_organizations,Transported_to_landfills_with_help_of_organizations
Yerevan city,84881.9,33874.5,135,1.2,200.3,50667.8
Aragatsotn,769.9,229.2,-,-,16,519.5
Ararat,2005.2,1522.1,3.9,-,-,32.4
Armavir,6978.6,6654.2,577,647.2,114.2,85
Gegharkunik,32253862.6,13002.5,441,-,268094.3,31973248
"
Lori",2648.5,1514.8,1531.2,2,152.5,2199.4
"
Kotayk",1652.9,155.7,400,-,1125.6,787.1
Shirak,16983,855.4,-,6,-,16773.2
Syunik,27250668.1,2181,-,4.4,60.7,24571786.9
Vayots Dzor,213,-,-,-,-,213
"
Tavush",1780.6,1764,-,-,16,0.6
