,Year,Waste received from other organizations,Waste generated during the year,Waste transmitted to other organizations,Treated and destructed by other organizations,Waste used by organizations ,Transported to landfills by means of organizations ,Generated per capita of marz in kg,Per square km of marz in kg,Solid waste transported into municipal landfills in thsd. tons
Yerevan city,2008,1434.2,13933.3,2798,1359.1,2303.3,8060.9,12.6,61380.2,
Aragatsotn,2008,403.2,243.4,-,-,-,646.6,1.7,88.4,
Ararat,2008,1825,6641.8,6632.4,-,-,1834,24,3168.8,
Armavir,2008,-,67,-,3.3,-,63.7,0.2,53.9,
Gegharkunik,2008,611,71.9,42.9,-,-,640,0.3,17.61,
Lori,2008,480.1,32106.3,31173.8,0,53.1,809.4,113.9,8473.6,
Kotayk,2008,1591.1,183.6,-,100,0.5,1641.6,0.7,87.9,
Shirak,2008,14.2,1407,-,-,-,888.6,5,524.8,
Syunik,2008,-,11400317.5,240.3,-,5.2,11400000,74576.7,2530030.5,
Vayots Dzor,2008,270.9,107.4,-,-,-,378.3,1.9,46.5,
Tavush,2008,800,298.6,208,-,-,890.6,2.2,110.4,
Yerevan city,2009,714.7,15058.9,5305.8,436.9,2148.6,7898.1,13.5,66338.8,
Aragatsotn,2009,241,580.7,68.1,-,-,753.6,4.1,210.9,
Ararat,2009,1818.2,7.7,-,-,-,1390.5,0,3.7,
Armavir,2009,-,1131.7,7.1,4,0.8,1127.5,4,911.2,
Gegharkunik,2009,430,56.9,53.9,-,-,433,0.2,13.9,
Lori,2009,490.5,31644.6,22844.8,9.3,72.4,1779.1,112.3,8351.7,
Kotayk,2009,1484.2,797.4,22,-,144.5,1641.4,2.9,381.7,
Shirak,2009,13056,4043.8,1.1,6,-,16532.5,14.4,1508.3,
Syunik,2009,9197,14711930.2,521.5,6.9,38.7,13303088.4,96219.3,3264964.5,
Vayots Dzor,2009,137.6,707.2,4,-,-,833.6,12.7,306.4,
Tavush,2009,870,183,3,-,-,1050,1.4,67.7,
Yerevan city,2010,1176,14366.4,3051.6,284.1,2141.4,8541.4,12.8,63288.1,
Aragatsotn,2010,287.5,426.9,246.1,0.8,-,467.4,3,155.1,
Ararat,2010,1844,9.2,-,-,-,1852.8,0,4.4,
Armavir,2010,-,3724,44.8,-,-,3679.7,13.1,2998.4,
Gegharkunik,2010,481,175,93.1,5.4,4,553.5,0.7,42.9,
Lori,2010,566,34414.7,22304,9.3,7.6,7231.4,122.1,9082.8,
Kotayk,2010,4192.6,1858,257.8,-,112.1,5603.3,6.6,889.4,
Shirak,2010,9818.9,1558.6,7.3,-,-,11268.9,5.5,581.4,
Syunik,2010,10387.5,17249621.8,1452.4,0.7,157631.4,14331395.5,112890.2,3828145.1,
Vayots Dzor,2010,203.6,315.1,-,-,-,518.7,5.6,136.5,
Tavush,2010,14,1359.5,-,-,-,1373.5,10.1,502.8,
Yerevan city,2011,657.6,15021.6,3108,0.6,2261,9430.8,13.4,66174.4,
Aragatsotn,2011,275.4,774.8,108.8,1.7,-,942.9,5.4,281.4,
Ararat,2011,1931,383.7,-,-,6.1,2304.9,1.4,183.1,
Armavir,2011,-,6688.7,-,-,27,6661,23.3,5385.4,
Gegharkunik,2011,621,66.2,14,-,-,619,0.3,16.3,
Lori,2011,588.7,35557.4,20274.3,8,28.6,1388.3,126,9384.4,
